Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
28.0,34847.84,3037.986666666666,2.0,4.0,6.0,1.0,7.0,1.0,7.42,2.0,3.0,605.03,38.550848433956325,320.0,1,18.816214573128885,40.39123782853101,6.0,484.5912142650067,Good
28.0,34847.84,3037.986666666666,2.0,4.0,6.0,1.0,3.0,1.0,6.42,2.0,3.0,605.03,34.97789474709241,323.0,1,18.816214573128885,130.11542024292334,1.0,444.8670318506144,Good
28.0,34847.84,3037.986666666666,2.0,4.0,6.0,1.0,3.0,0.0,5.42,2.0,3.0,605.03,33.38101020065065,324.0,1,18.816214573128885,43.47719014435575,6.0,481.505261949182,Good
28.0,34847.84,3037.986666666666,2.0,4.0,6.0,1.0,3.0,4.0,5.42,2.0,3.0,605.03,32.933856293622235,326.0,1,18.816214573128885,218.90434353388733,1.0,356.07810855965045,Good
54.0,30689.89,2612.4908333333333,2.0,5.0,4.0,1.0,0.0,6.0,1.99,4.0,3.0,632.46,26.54422872407309,207.0,1,16.415451659824875,81.22885871073616,3.0,433.6047729627723,Standard
54.0,30689.89,2612.4908333333333,2.0,5.0,4.0,1.0,5.0,3.0,1.99,4.0,3.0,632.46,35.279981779008544,208.0,1,16.415451659824875,124.88181990234848,1.0,409.95181177116,Standard
55.0,30689.89,2612.4908333333333,2.0,5.0,4.0,1.0,3.0,9.0,1.99,4.0,3.0,632.46,32.30116343180253,209.0,2,16.415451659824875,83.40650880252501,5.0,411.42712287098345,Standard
21.0,35547.71,2853.3091666666664,7.0,5.0,5.0,0.0,10.0,15.0,2.58,4.0,2.0,943.86,26.263822692130155,374.0,3,0.0,181.0119827315892,1.0,394.31893393507744,Standard
31.0,73928.46,5988.705000000001,4.0,5.0,8.0,0.0,8.0,7.0,10.14,2.0,3.0,548.2,42.76986440325711,384.0,2,0.0,172.93921446875606,2.0,705.931285531244,Good
44.0,31370.8,2825.233333333333,1.0,6.0,12.0,2.0,2.0,0.0,-1.2400000000000002,2.0,3.0,421.43,28.22048095698559,318.0,1,46.61612907334207,298.7444693112266,1.0,227.1627349487646,Good
40.0,33751.27,2948.605833333333,5.0,5.0,20.0,3.0,16.0,20.0,11.0,4.0,2.0,1328.93,30.908080633467584,231.0,3,65.00817428651536,70.13107792087979,6.0,399.7213311259382,Standard
40.0,33751.27,2948.605833333333,5.0,5.0,20.0,3.0,17.0,22.0,11.0,8.0,2.0,1328.93,23.40441277698757,233.0,3,65.00817428651536,25.192561910314712,6.0,444.6598471365032,Standard
40.0,33751.27,2948.605833333333,5.0,5.0,20.0,3.0,16.0,20.0,11.0,8.0,2.0,1328.93,32.78263672653516,235.0,3,65.00817428651536,72.86008181289458,5.0,406.9923272339233,Standard
33.0,88640.24,7266.686666666667,3.0,6.0,1.0,2.0,4.0,0.0,3.51,3.0,3.0,950.36,34.67019437922772,307.0,1,135.17337097171767,298.1889114624804,5.0,543.3063842324688,Standard
33.0,88640.24,7266.686666666667,3.0,6.0,1.0,2.0,4.0,2.0,3.51,3.0,3.0,950.36,34.702836927947075,309.0,1,135.17337097171767,279.61862207772435,5.0,561.8766736172248,Good
35.0,54392.16,4766.68,6.0,4.0,14.0,3.0,10.0,8.0,5.54,3.0,2.0,179.22,25.64924606724341,322.0,3,124.39208242092045,243.7354373920944,3.0,378.54048018698535,Standard
35.0,54392.16,4766.68,6.0,4.0,14.0,3.0,10.0,8.0,11.54,3.0,2.0,179.22,34.59532445612005,326.0,3,124.39208242092045,233.1184454152274,1.0,409.15747216385233,Standard
36.0,54392.16,4766.68,6.0,4.0,14.0,3.0,10.0,8.0,5.54,7.0,2.0,179.22,35.112531991297786,328.0,3,124.39208242092045,158.11240346721374,3.0,464.1635141118658,Standard
39.0,8701.545,519.12875,6.0,5.0,32.0,7.0,23.0,9.0,8.86,6.0,2.0,2602.69,39.90251759709182,108.0,3,36.54819717138717,34.71516393565097,3.0,250.64951389296183,Poor
39.0,8701.545,519.12875,6.0,5.0,32.0,7.0,22.0,7.0,8.86,6.0,2.0,2602.69,32.09749227865355,110.0,3,36.54819717138717,20.390183876957128,1.0,284.9744939516557,Poor
39.0,8701.545,519.12875,6.0,5.0,32.0,7.0,22.0,9.0,8.86,6.0,2.0,2602.69,37.16937449181636,111.0,3,36.54819717138717,50.486952198712274,1.0,254.8777256299005,Poor
36.0,25546.26,2415.855,8.0,7.0,14.0,5.0,16.0,14.0,7.83,5.0,2.0,758.44,37.41820916883601,218.0,2,101.3286373638512,53.104599112612064,5.0,337.1522635235368,Standard
37.0,25546.26,2415.855,8.0,7.0,14.0,5.0,16.0,10.0,7.83,5.0,2.0,758.44,25.413616742350907,220.0,3,101.3286373638512,91.21658676189335,3.0,319.0402758742555,Standard
37.0,25546.26,2415.855,8.0,7.0,14.0,5.0,16.0,14.0,10.83,5.0,2.0,758.44,30.099067241911712,224.0,3,101.3286373638512,130.30039377019006,1.0,299.9564688659588,Standard
30.0,31993.78,2942.148333333333,6.0,6.0,7.0,2.0,8.0,14.0,6.28,0.0,2.0,818.22,25.36959679239191,202.0,3,45.14129822463578,81.99883505710139,2.0,447.0747000515962,Standard
31.0,31993.78,2942.148333333333,6.0,6.0,7.0,2.0,8.0,16.0,6.28,1.0,2.0,818.22,36.012793772472094,209.0,3,45.14129822463578,97.58820324481088,3.0,421.4853318638867,Standard
45.0,32284.62,2898.385,6.0,7.0,17.0,6.0,11.0,12.0,9.22,8.0,2.0,1283.37,28.94089258854545,77.0,3,103.03756035536594,254.86161508896944,2.0,211.93932455566463,Standard
46.0,32284.62,2898.385,6.0,7.0,17.0,6.0,11.0,12.0,9.22,8.0,2.0,1283.37,27.86131019311364,78.0,3,103.03756035536594,103.21030741657007,3.0,353.59063222806395,Standard
46.0,32284.62,2898.385,6.0,7.0,17.0,6.0,10.0,12.0,9.22,8.0,2.0,1283.37,27.88169704475605,79.0,3,103.03756035536594,35.793568414159616,6.0,391.00737123047446,Standard
46.0,32284.62,2898.385,6.0,7.0,17.0,6.0,11.0,12.0,9.22,8.0,2.0,1283.37,38.39455822201335,80.0,3,103.03756035536594,280.21825375922106,1.0,196.582685885413,Standard
